method,seed,round,labels,true_return,regret,gradient_cosine,directional_gradient_bias,posterior_directional_variance,rm_error_full_centered,rm_error_policy_centered,rm_error_critical,rm_decoy_abs_mean,proxy_grad_norm,true_grad_norm,beta,l2
entropy,0,15,142,2.7927488999421883,0.33725110005781156,0.9967945978587853,0.2658627541450798,0.6136761971410803,3.0813569977477147,2.3843668039599057,5.3920302835883405,1.7335667812370132,0.32767789409992576,0.06201391950521303,5.0,0.001
entropy,0,16,150,2.802520812887381,0.32747918711261903,0.9968243013471424,0.24731777271511265,0.5315854382377299,3.0813569616945573,2.2991481809415824,5.392030826159691,1.7335665545080978,0.30484226960669225,0.05770775934519154,5.0,0.001
entropy,0,17,158,2.8110006529512934,0.31899934704870647,0.9968502936774195,0.231172971748103,0.4648559638782787,3.081356912505585,2.2222629401529135,5.392030931367514,1.7335664640641462,0.28496009715846043,0.053957074348581116,5.0,0.001
entropy,0,18,166,2.8184277534143756,0.3115722465856243,0.9968732717467769,0.2169930896171137,0.40989533305277803,3.081356888291821,2.1524487390660054,5.392030977087091,1.7335664216605475,0.26749612604939144,0.05066144099117382,5.0,0.001
entropy,0,19,174,2.8249859696061814,0.30501403039381847,0.9968937643646426,0.20444168954752412,0.36409974042299065,3.081356888291821,2.08869388588796,5.392030977087091,1.7335664216605475,0.2520365540511463,0.047743166027280945,5.0,0.001
entropy,0,20,182,2.830818829348691,0.299181170651309,0.9969121806606743,0.19325470859853566,0.32554551380323005,3.081356888291821,2.030177114190178,5.392030977087091,1.7335664216605475,0.23825654316675815,0.045141222508083695,5.0,0.001
entropy,0,21,190,2.8360399871356714,0.2939600128643285,0.996928842291048,0.18322204951075713,0.2927870796479899,3.081356888291821,1.9762240902212045,5.392030977087091,1.7335664216605475,0.22589760526559322,0.04280702287313025,5.0,0.001
entropy,0,22,198,2.8407405935569865,0.2892594064430134,0.9969440059775532,0.17417450385164068,0.2647214813272398,3.081356888291821,1.9262754069052965,5.392030977087091,1.7335664216605475,0.21475153332675254,0.04070141274917843,5.0,0.001
entropy,0,23,206,2.8449945901476035,0.2850054098523964,0.996957879306632,0.16597429308789768,0.24049556974190708,3.081356888291821,1.879862677720729,5.392030977087091,1.7335664216605475,0.20464877570606155,0.038792494067112826,5.0,0.001
entropy,0,24,214,2.8488625792840376,0.28113742071596226,0.9969706321000854,0.15850811338059287,0.21944119772661155,3.081356888291821,1.8365904179020223,5.392030977087091,1.7335664216605475,0.19544988604561353,0.03705402293265551,5.0,0.001
